chain,contract_reuse_count,runtime_group_count,contracts_in_group,cumulative_contracts,total_contracts,cumulative_contract_fraction,cumulative_runtime_groups,total_runtime_groups,cumulative_runtime_fraction
ethereum,73,47,3431,733296,72881396,0.010061497724330088,356930,362813,0.9837850352661013
ethereum,74,37,2738,736034,72881396,0.010099065610653232,356967,362813,0.9838870161763774
ethereum,75,50,3750,739784,72881396,0.010150519070737888,357017,362813,0.984024828217291
ethereum,76,32,2432,742216,72881396,0.010183888354718123,357049,362813,0.9841130279234758
ethereum,77,33,2541,744757,72881396,0.010218753219271485,357082,362813,0.9842039838704787
ethereum,78,40,3120,747877,72881396,0.01026156249806192,357122,362813,0.9843142335032097
ethereum,79,36,2844,750721,72881396,0.010300584802190123,357158,362813,0.9844134581726675
ethereum,80,47,3760,754481,72881396,0.010352175471501671,357205,362813,0.9845430014911263
ethereum,81,45,3645,758126,72881396,0.010402188234703957,357250,362813,0.9846670323279486
ethereum,82,47,3854,761980,72881396,0.010455068670748293,357297,362813,0.9847965756464073
ethereum,83,35,2905,764885,72881396,0.01049492795116054,357332,362813,0.984893044075047
ethereum,84,32,2688,767573,72881396,0.010531809791349222,357364,362813,0.9849812437812316
ethereum,85,29,2465,770038,72881396,0.010565631865778202,357393,362813,0.9850611747649616
ethereum,86,26,2236,772274,72881396,0.010596311848911346,357419,362813,0.9851328370262367
ethereum,87,38,3306,775580,72881396,0.01064167321932198,357457,362813,0.985237574177331
ethereum,88,24,2112,777692,72881396,0.010670651808041658,357481,362813,0.9853037239569695
ethereum,89,48,4272,781964,72881396,0.010729267589770098,357529,362813,0.9854360235162467
ethereum,90,34,3060,785024,72881396,0.010771253613199177,357563,362813,0.985529735704068
ethereum,91,24,2184,787208,72881396,0.01080122010835248,357587,362813,0.9855958854837065
ethereum,92,32,2944,790152,72881396,0.010841614504749608,357619,362813,0.9856840851898913
ethereum,93,24,2232,792384,72881396,0.010872239604191994,357643,362813,0.9857502349695297
ethereum,94,18,1692,794076,72881396,0.010895455405382191,357661,362813,0.9857998473042586
ethereum,95,36,3420,797496,72881396,0.010942380960979397,357697,362813,0.9858990719737165
ethereum,96,28,2688,800184,72881396,0.010979262801168078,357725,362813,0.9859762467166281
ethereum,97,26,2522,802706,72881396,0.011013866968190346,357751,362813,0.9860479089779032
ethereum,98,33,3234,805940,72881396,0.011058240432167353,357784,362813,0.9861388649249062
ethereum,99,29,2871,808811,72881396,0.011097633201208166,357813,362813,0.9862187959086361
ethereum,100,265,26500,835311,72881396,0.011461237652473068,358078,362813,0.9869491997254785
ethereum,101,21,2121,837432,72881396,0.01149033972949695,358099,362813,0.9870070807826622
ethereum,102,39,3978,841410,72881396,0.011544921559954752,358138,362813,0.9871145741745748
ethereum,103,25,2575,843985,72881396,0.011580252935879548,358163,362813,0.9871834801950315
ethereum,104,18,1872,845857,72881396,0.011605938503153808,358181,362813,0.9872330925297605
ethereum,105,26,2730,848587,72881396,0.011643396622095438,358207,362813,0.9873047547910356
