chain,contract_reuse_count,runtime_group_count,contracts_in_group,cumulative_contracts,total_contracts,cumulative_contract_fraction,cumulative_runtime_groups,total_runtime_groups,cumulative_runtime_fraction
ethereum,611,2,1222,1614465,72881396,0.022151949449486397,361263,362813,0.9957278267316771
ethereum,612,2,1224,1615689,72881396,0.022168743858858028,361265,362813,0.9957333392133138
ethereum,614,3,1842,1617531,72881396,0.02219401779845161,361268,362813,0.9957416079357686
ethereum,616,1,616,1618147,72881396,0.022202469886828183,361269,362813,0.9957443641765868
ethereum,618,1,618,1618765,72881396,0.022210949417050135,361270,362813,0.9957471204174051
ethereum,619,2,1238,1620003,72881396,0.022227935919339414,361272,362813,0.9957526328990417
ethereum,620,2,1240,1621243,72881396,0.022244949863474073,361274,362813,0.9957581453806782
ethereum,621,1,621,1621864,72881396,0.022253470556464094,361275,362813,0.9957609016214964
ethereum,622,2,1244,1623108,72881396,0.022270539384289512,361277,362813,0.995766414103133
ethereum,624,3,1872,1624980,72881396,0.022296224951563772,361280,362813,0.9957746828255878
ethereum,626,1,626,1625606,72881396,0.022304814249167235,361281,362813,0.9957774390664061
ethereum,629,1,629,1626235,72881396,0.02231344470953877,361282,362813,0.9957801953072244
ethereum,630,2,1260,1627495,72881396,0.022330733072127212,361284,362813,0.9957857077888609
ethereum,631,1,631,1628126,72881396,0.022339390974344123,361285,362813,0.9957884640296792
ethereum,632,2,1264,1629390,72881396,0.022356734220623325,361287,362813,0.9957939765113157
ethereum,633,1,633,1630023,72881396,0.022365419564685615,361288,362813,0.995796732752134
ethereum,634,1,634,1630657,72881396,0.022374118629670595,361289,362813,0.9957994889929523
ethereum,636,1,636,1631293,72881396,0.02238284513650095,361290,362813,0.9958022452337706
ethereum,638,1,638,1631931,72881396,0.02239159908517669,361291,362813,0.9958050014745888
ethereum,639,3,1917,1633848,72881396,0.022417902093971966,361294,362813,0.9958132701970437
ethereum,640,1,640,1634488,72881396,0.02242668348449308,361295,362813,0.9958160264378619
ethereum,641,1,641,1635129,72881396,0.022435478595936885,361296,362813,0.9958187826786802
ethereum,642,3,1926,1637055,72881396,0.022461905093036364,361299,362813,0.995827051401135
ethereum,643,2,1286,1638341,72881396,0.02247955019961473,361301,362813,0.9958325638827715
ethereum,644,2,1288,1639629,72881396,0.022497222748038472,361303,362813,0.9958380763644081
ethereum,645,1,645,1640274,72881396,0.022506072743173032,361304,362813,0.9958408326052264
ethereum,647,1,647,1640921,72881396,0.02251495018015297,361305,362813,0.9958435888460446
ethereum,648,1,648,1641569,72881396,0.0225238413380556,361306,362813,0.995846345086863
ethereum,649,1,649,1642218,72881396,0.022532746216880915,361307,362813,0.9958491013276812
ethereum,650,6,3900,1646118,72881396,0.02258625781536896,361313,362813,0.9958656387725908
ethereum,652,4,2608,1648726,72881396,0.022622041981742502,361317,362813,0.9958766637358639
ethereum,654,4,2616,1651342,72881396,0.022657935915497557,361321,362813,0.995887688699137
ethereum,656,1,656,1651998,72881396,0.0226669368407817,361322,362813,0.9958904449399553
ethereum,658,3,1974,1653972,72881396,0.022694021942170264,361325,362813,0.9958987136624101
ethereum,659,1,659,1654631,72881396,0.022703064030222472,361326,362813,0.9959014699032284
ethereum,660,2,1320,1655951,72881396,0.022721175648172273,361328,362813,0.995906982384865
ethereum,661,1,661,1656612,72881396,0.02273024517806986,361329,362813,0.9959097386256832
ethereum,663,1,663,1657275,72881396,0.022739342149812828,361330,362813,0.9959124948665015
ethereum,664,2,1328,1658603,72881396,0.02275756353514414,361332,362813,0.9959180073481381
ethereum,666,1,666,1659269,72881396,0.022766701669655175,361333,362813,0.9959207635889563
ethereum,667,2,1334,1660603,72881396,0.022785005380522624,361335,362813,0.9959262760705928
ethereum,668,1,668,1661271,72881396,0.022794170956879037,361336,362813,0.9959290323114112
ethereum,669,4,2676,1663947,72881396,0.022830888145995445,361340,362813,0.9959400572746842
ethereum,670,3,2010,1665957,72881396,0.02285846720060082,361343,362813,0.995948325997139
ethereum,671,1,671,1666628,72881396,0.022867673939725303,361344,362813,0.9959510822379573
ethereum,672,3,2016,1668644,72881396,0.022895335319866816,361347,362813,0.9959593509604121
ethereum,673,2,1346,1669990,72881396,0.022913803681806535,361349,362813,0.9959648634420487
ethereum,674,1,674,1670664,72881396,0.022923051583699082,361350,362813,0.995967619682867
ethereum,677,2,1354,1672018,72881396,0.022941629713020315,361352,362813,0.9959731321645034
ethereum,678,1,678,1672696,72881396,0.02295093249860362,361353,362813,0.9959758884053217
ethereum,679,1,679,1673375,72881396,0.022960249005109616,361354,362813,0.99597864464614
ethereum,681,1,681,1674056,72881396,0.02296959295346099,361355,362813,0.9959814008869583
ethereum,684,1,684,1674740,72881396,0.022978978064580432,361356,362813,0.9959841571277765
ethereum,686,2,1372,1676112,72881396,0.022997803170510072,361358,362813,0.9959896696094132
ethereum,688,1,688,1676800,72881396,0.023007243165320268,361359,362813,0.9959924258502314
ethereum,689,1,689,1677489,72881396,0.023016696881053157,361360,362813,0.9959951820910496
ethereum,690,1,690,1678179,72881396,0.023026164317708733,361361,362813,0.9959979383318679
ethereum,691,2,1382,1679561,72881396,0.023045126632865266,361363,362813,0.9960034508135045
ethereum,692,3,2076,1681637,72881396,0.02307361126836813,361366,362813,0.9960117195359594
ethereum,693,1,693,1682330,72881396,0.023083119867791775,361367,362813,0.9960144757767776
ethereum,695,2,1390,1683720,72881396,0.02310219195032982,361369,362813,0.9960199882584141
ethereum,696,1,696,1684416,72881396,0.023111741712521533,361370,362813,0.9960227444992323
ethereum,697,2,1394,1685810,72881396,0.023130868678750336,361372,362813,0.9960282569808689
ethereum,698,3,2094,1687904,72881396,0.023159600290861608,361375,362813,0.9960365257033238
ethereum,699,2,1398,1689302,72881396,0.023178782140781166,361377,362813,0.9960420381849603
ethereum,700,7,4900,1694202,72881396,0.023246014661958452,361384,362813,0.9960613318706882
ethereum,701,3,2103,1696305,72881396,0.023274869762373925,361387,362813,0.996069600593143
ethereum,702,1,702,1697007,72881396,0.023284501850101773,361388,362813,0.9960723568339613
ethereum,706,2,1412,1698419,72881396,0.023303875792938984,361390,362813,0.9960778693155978
ethereum,708,1,708,1699127,72881396,0.023313590206202967,361391,362813,0.9960806255564161
ethereum,709,3,2127,1701254,72881396,0.02334277460876298,361394,362813,0.9960888942788709
ethereum,710,2,1420,1702674,72881396,0.023362258318981706,361396,362813,0.9960944067605075
ethereum,711,1,711,1703385,72881396,0.023372013895013755,361397,362813,0.9960971630013258
ethereum,713,1,713,1704098,72881396,0.023381796912891186,361398,362813,0.996099919242144
ethereum,714,4,2856,1706954,72881396,0.02342098386809166,361402,362813,0.9961109442054171
ethereum,715,1,715,1707669,72881396,0.023430794327814468,361403,362813,0.9961137004462354
ethereum,716,2,1432,1709101,72881396,0.023450442689105462,361405,362813,0.996119212927872
ethereum,719,2,1438,1710539,72881396,0.02347017337593259,361407,362813,0.9961247254095085
ethereum,720,4,2880,1713419,72881396,0.023509689633277608,361411,362813,0.9961357503727816
ethereum,721,1,721,1714140,72881396,0.02351958241853655,361412,362813,0.9961385066135998
ethereum,722,3,2166,1716306,72881396,0.023549301937081445,361415,362813,0.9961467753360547
ethereum,724,2,1448,1717754,72881396,0.023569169833135468,361417,362813,0.9961522878176912
ethereum,725,1,725,1718479,72881396,0.02357911750208517,361418,362813,0.9961550440585095
ethereum,726,1,726,1719205,72881396,0.02358907889195756,361419,362813,0.9961578002993278
ethereum,727,1,727,1719932,72881396,0.023599054002752636,361420,362813,0.996160556540146
ethereum,728,3,2184,1722116,72881396,0.02362902049790594,361423,362813,0.9961688252626009
ethereum,729,3,2187,1724303,72881396,0.02365902815582731,361426,362813,0.9961770939850557
ethereum,730,2,1460,1725763,72881396,0.023679060702953603,361428,362813,0.9961826064666922
ethereum,731,2,1462,1727225,72881396,0.023699120691925275,361430,362813,0.9961881189483287
ethereum,732,1,732,1727957,72881396,0.0237091644073338,361431,362813,0.9961908751891471
ethereum,735,3,2205,1730162,72881396,0.023739419041863576,361434,362813,0.9961991439116018
ethereum,736,1,736,1730898,72881396,0.02374951764096286,361435,362813,0.9962019001524202
ethereum,738,1,738,1731636,72881396,0.02375964368190752,361436,362813,0.9962046563932384
ethereum,739,1,739,1732375,72881396,0.02376978344377487,361437,362813,0.9962074126340567
ethereum,740,1,740,1733115,72881396,0.02377993692656491,361438,362813,0.9962101688748749
ethereum,741,1,741,1733856,72881396,0.023790104130277635,361439,362813,0.9962129251156933
ethereum,742,2,1484,1735340,72881396,0.02381046597954847,361441,362813,0.9962184375973298
ethereum,743,1,743,1736083,72881396,0.023820660625106578,361442,362813,0.996221193838148
ethereum,744,4,2976,1739059,72881396,0.02386149409102976,361446,362813,0.9962322188014211
ethereum,745,1,745,1739804,72881396,0.023871716178433245,361447,362813,0.9962349750422393
ethereum,746,1,746,1740550,72881396,0.02388195198675942,361448,362813,0.9962377312830577
ethereum,748,1,748,1741298,72881396,0.023892215236930973,361449,362813,0.996240487523876
ethereum,750,3,2250,1743548,72881396,0.023923087312981765,361452,362813,0.9962487562463308
ethereum,753,1,753,1744301,72881396,0.023933419167766763,361453,362813,0.996251512487149
ethereum,755,2,1510,1745811,72881396,0.02395413776102752,361455,362813,0.9962570249687855
ethereum,756,1,756,1746567,72881396,0.023964510778580587,361456,362813,0.9962597812096039
ethereum,757,3,2271,1748838,72881396,0.023995670994007852,361459,362813,0.9962680499320586
ethereum,758,2,1516,1750354,72881396,0.024016471912804743,361461,362813,0.9962735624136952
ethereum,759,2,1518,1751872,72881396,0.024037300273447013,361463,362813,0.9962790748953317
ethereum,760,2,1520,1753392,72881396,0.02405815607593466,361465,362813,0.9962845873769683
ethereum,761,1,761,1754153,72881396,0.02406859769810117,361466,362813,0.9962873436177866
ethereum,762,1,762,1754915,72881396,0.024079053041190374,361467,362813,0.9962900998586048
ethereum,763,2,1526,1756441,72881396,0.024099991169214158,361469,362813,0.9962956123402414
ethereum,764,1,764,1757205,72881396,0.024110473954148736,361470,362813,0.9962983685810597
ethereum,765,2,1530,1758735,72881396,0.02413146696586328,361472,362813,0.9963038810626962
ethereum,768,1,768,1759503,72881396,0.024142004634488616,361473,362813,0.9963066373035144
ethereum,769,2,1538,1761041,72881396,0.02416310741358467,361475,362813,0.996312149785151
ethereum,771,2,1542,1762583,72881396,0.02418426507637148,361477,362813,0.9963176622667875
ethereum,773,1,773,1763356,72881396,0.024194871349610264,361478,362813,0.9963204185076059
ethereum,774,1,774,1764130,72881396,0.024205491343771736,361479,362813,0.9963231747484241
ethereum,775,3,2325,1766455,72881396,0.024237392489024224,361482,362813,0.996331443470879
ethereum,777,2,1554,1768009,72881396,0.024258714802883302,361484,362813,0.9963369559525155
ethereum,778,1,778,1768787,72881396,0.024269389680735533,361485,362813,0.9963397121933337
ethereum,779,1,779,1769566,72881396,0.024280078279510453,361486,362813,0.996342468434152
ethereum,780,3,2340,1771906,72881396,0.02431218523860328,361489,362813,0.9963507371566068
ethereum,782,1,782,1772688,72881396,0.024322915000146265,361490,362813,0.9963534933974251
ethereum,783,2,1566,1774254,72881396,0.024344401965077617,361492,362813,0.9963590058790617
ethereum,784,2,1568,1775822,72881396,0.024365916371854347,361494,362813,0.9963645183606982
ethereum,789,3,2367,1778189,72881396,0.02439839379585978,361497,362813,0.996372787083153
ethereum,790,2,1580,1779769,72881396,0.024420072853708785,361499,362813,0.9963782995647896
ethereum,792,1,792,1780561,72881396,0.024430939824478665,361500,362813,0.9963810558056079
ethereum,793,1,793,1781354,72881396,0.024441820516171234,361501,362813,0.9963838120464261
ethereum,794,1,794,1782148,72881396,0.02445271492878649,361502,362813,0.9963865682872444
ethereum,795,2,1590,1783738,72881396,0.024474531195862386,361504,362813,0.996392080768881
ethereum,797,1,797,1784535,72881396,0.02448546677124571,361505,362813,0.9963948370096992
ethereum,798,2,1596,1786131,72881396,0.02450736536385774,361507,362813,0.9964003494913357
ethereum,799,1,799,1786930,72881396,0.024518328381086443,361508,362813,0.9964031057321541
ethereum,800,2,1600,1788530,72881396,0.02454028185738923,361510,362813,0.9964086182137906
ethereum,801,2,1602,1790132,72881396,0.024562262775537396,361512,362813,0.9964141306954272
ethereum,802,1,802,1790934,72881396,0.024573266955534166,361513,362813,0.9964168869362454
ethereum,803,1,803,1791737,72881396,0.024584284856453628,361514,362813,0.9964196431770637
ethereum,804,1,804,1792541,72881396,0.024595316478295777,361515,362813,0.9964223994178819
ethereum,807,1,807,1793348,72881396,0.024606389262905995,361516,362813,0.9964251556587002
ethereum,808,1,808,1794156,72881396,0.024617475768438903,361517,362813,0.9964279118995185
ethereum,810,1,810,1794966,72881396,0.02462858971581719,361518,362813,0.9964306681403368
ethereum,811,2,1622,1796588,72881396,0.02465084505241914,361520,362813,0.9964361806219733
ethereum,814,2,1628,1798216,72881396,0.024673182714557224,361522,362813,0.9964416931036099
ethereum,815,1,815,1799031,72881396,0.024684365266548956,361523,362813,0.9964444493444281
ethereum,816,1,816,1799847,72881396,0.024695561539463378,361524,362813,0.9964472055852464
ethereum,820,1,820,1800667,72881396,0.024706812696068555,361525,362813,0.9964499618260647
ethereum,821,2,1642,1802309,72881396,0.02472934245112429,361527,362813,0.9964554743077012
ethereum,822,2,1644,1803953,72881396,0.0247518996480254,361529,362813,0.9964609867893378
ethereum,823,2,1646,1805599,72881396,0.024774484286771894,361531,362813,0.9964664992709743
ethereum,824,3,2472,1808071,72881396,0.024808402407659698,361534,362813,0.9964747679934292
ethereum,826,4,3304,1811375,72881396,0.024853736336224955,361538,362813,0.9964857929567023
ethereum,831,1,831,1812206,72881396,0.024865138422979712,361539,362813,0.9964885491975205
ethereum,832,2,1664,1813870,72881396,0.024887970038334612,361541,362813,0.996494061679157
ethereum,835,1,835,1814705,72881396,0.024899427008780128,361542,362813,0.9964968179199754
ethereum,836,1,836,1815541,72881396,0.024910897700148333,361543,362813,0.9964995741607936
ethereum,837,1,837,1816378,72881396,0.024922382112439228,361544,362813,0.9965023304016118
ethereum,838,1,838,1817216,72881396,0.024933880245652813,361545,362813,0.9965050866424301
ethereum,839,2,1678,1818894,72881396,0.02495690395392536,361547,362813,0.9965105991240667
ethereum,840,2,1680,1820574,72881396,0.024979955104043286,361549,362813,0.9965161116057032
ethereum,841,1,841,1821415,72881396,0.02499149440002494,361550,362813,0.9965188678465214
ethereum,842,1,842,1822257,72881396,0.02500304741692928,361551,362813,0.9965216240873398
ethereum,843,3,2529,1824786,72881396,0.025037747630410372,361554,362813,0.9965298928097945
ethereum,847,2,1694,1826480,72881396,0.02506099087344595,361556,362813,0.9965354052914311
ethereum,848,1,848,1827328,72881396,0.025072626215886424,361557,362813,0.9965381615322494
ethereum,849,1,849,1828177,72881396,0.025084275279249592,361558,362813,0.9965409177730676
ethereum,851,2,1702,1829879,72881396,0.02510762828966668,361560,362813,0.9965464302547042
ethereum,852,1,852,1830731,72881396,0.025119318515797913,361561,362813,0.9965491864955225
ethereum,854,2,1708,1832439,72881396,0.02514275385175114,361563,362813,0.996554698977159
ethereum,856,2,1712,1834151,72881396,0.02516624407139512,361565,362813,0.9965602114587956
ethereum,857,1,857,1835008,72881396,0.0251780029021398,361566,362813,0.9965629676996138
ethereum,858,2,1716,1836724,72881396,0.025201548005474538,361568,362813,0.9965684801812504
ethereum,859,2,1718,1838442,72881396,0.025225120550654654,361570,362813,0.9965739926628869
ethereum,860,1,860,1839302,72881396,0.0252369205441674,361571,362813,0.9965767489037052
ethereum,862,3,2586,1841888,72881396,0.025272402850241783,361574,362813,0.99658501762616
ethereum,867,2,1734,1843622,72881396,0.025296194930184927,361576,362813,0.9965905301077965
ethereum,868,2,1736,1845358,72881396,0.02532001445197345,361578,362813,0.9965960425894331
ethereum,869,1,869,1846227,72881396,0.0253319379337904,361579,362813,0.9965987988302514
ethereum,870,1,870,1847097,72881396,0.025343875136530043,361580,362813,0.9966015550710696
ethereum,871,1,871,1847968,72881396,0.02535582606019237,361581,362813,0.996604311311888
ethereum,872,2,1744,1849712,72881396,0.025379755349362407,361583,362813,0.9966098237935245
ethereum,873,1,873,1850585,72881396,0.025391733714870114,361584,362813,0.9966125800343427
ethereum,876,2,1752,1852337,72881396,0.025415772771421666,361586,362813,0.9966180925159793
ethereum,877,2,1754,1854091,72881396,0.025439839269818597,361588,362813,0.9966236049976158
ethereum,879,1,879,1854970,72881396,0.025451899960862442,361589,362813,0.9966263612384342
ethereum,881,1,881,1855851,72881396,0.025463988093751663,361590,362813,0.9966291174792524
ethereum,884,2,1768,1857619,72881396,0.025488246685066242,361592,362813,0.9966346299608889
ethereum,889,1,889,1858508,72881396,0.025500444585336977,361593,362813,0.9966373862017072
ethereum,892,1,892,1859400,72881396,0.02551268364837578,361594,362813,0.9966401424425255
ethereum,893,4,3572,1862972,72881396,0.025561694784221753,361598,362813,0.9966511674057986
ethereum,894,2,1788,1864760,72881396,0.025586227793990116,361600,362813,0.9966566798874351
ethereum,895,1,895,1865655,72881396,0.025598508019796986,361601,362813,0.9966594361282534
ethereum,896,2,1792,1867447,72881396,0.025623095913256108,361603,362813,0.99666494860989
ethereum,900,3,2700,1870147,72881396,0.02566014240451706,361606,362813,0.9966732173323447
ethereum,903,2,1806,1871953,72881396,0.02568492239089383,361608,362813,0.9966787298139813
ethereum,904,1,904,1872857,72881396,0.025697326105004904,361609,362813,0.9966814860547996
ethereum,907,1,907,1873764,72881396,0.025709770981884046,361610,362813,0.9966842422956178
ethereum,908,1,908,1874672,72881396,0.02572222957968588,361611,362813,0.9966869985364362
ethereum,910,3,2730,1877402,72881396,0.025759687698627506,361614,362813,0.9966952672588909
ethereum,911,1,911,1878313,72881396,0.025772187459197408,361615,362813,0.9966980234997093
ethereum,913,2,1826,1880139,72881396,0.025797241864027962,361617,362813,0.9967035359813458
ethereum,915,1,915,1881054,72881396,0.02580979650828862,361618,362813,0.996706292222164
ethereum,917,1,917,1881971,72881396,0.02582237859439465,361619,362813,0.9967090484629824
ethereum,918,2,1836,1883807,72881396,0.0258475702084521,361621,362813,0.9967145609446189
ethereum,920,2,1840,1885647,72881396,0.025872816706200303,361623,362813,0.9967200734262553
ethereum,921,1,921,1886568,72881396,0.025885453675997094,361624,362813,0.9967228296670737
ethereum,923,2,1846,1888414,72881396,0.025910782499281436,361626,362813,0.9967283421487102
ethereum,927,2,1854,1890268,72881396,0.025936221089947288,361628,362813,0.9967338546303468
ethereum,928,1,928,1891196,72881396,0.025948954106202904,361629,362813,0.996736610871165
ethereum,929,1,929,1892125,72881396,0.02596170084338121,361630,362813,0.9967393671119833
ethereum,931,1,931,1893056,72881396,0.025974475022404894,361631,362813,0.9967421233528015
ethereum,932,1,932,1893988,72881396,0.02598726292235127,361632,362813,0.9967448795936199
ethereum,933,1,933,1894921,72881396,0.02600006454322033,361633,362813,0.9967476358344382
ethereum,934,1,934,1895855,72881396,0.02601287988501208,361634,362813,0.9967503920752564
ethereum,937,2,1874,1897729,72881396,0.02603859289413172,361636,362813,0.9967559045568929
ethereum,938,1,938,1898667,72881396,0.02605146311961423,361637,362813,0.9967586607977112
ethereum,940,1,940,1899607,72881396,0.026064360786942117,361638,362813,0.9967614170385295
ethereum,941,1,941,1900548,72881396,0.026077272175192692,361639,362813,0.9967641732793477
ethereum,942,1,942,1901490,72881396,0.026090197284365957,361640,362813,0.996766929520166
ethereum,943,1,943,1902433,72881396,0.02610313611446191,361641,362813,0.9967696857609843
ethereum,944,1,944,1903377,72881396,0.02611608866548056,361642,362813,0.9967724420018026
ethereum,945,1,945,1904322,72881396,0.02612905493742189,361643,362813,0.9967751982426208
ethereum,947,1,947,1905269,72881396,0.026142048651208602,361644,362813,0.9967779544834391
ethereum,948,3,2844,1908113,72881396,0.026181070955336803,361647,362813,0.9967862232058939
ethereum,949,2,1898,1910011,72881396,0.026207113266600985,361649,362813,0.9967917356875305
ethereum,950,4,3800,1913811,72881396,0.026259252772820103,361653,362813,0.9968027606508035
ethereum,951,1,951,1914762,72881396,0.026272301370297572,361654,362813,0.9968055168916219
ethereum,952,1,952,1915714,72881396,0.02628536368869773,361655,362813,0.9968082731324401
ethereum,953,1,953,1916667,72881396,0.026298439728020578,361656,362813,0.9968110293732584
ethereum,955,2,1910,1918577,72881396,0.02632464669035703,361658,362813,0.996816541854895
ethereum,958,1,958,1919535,72881396,0.02633779133429332,361659,362813,0.9968192980957132
ethereum,960,2,1920,1921455,72881396,0.026364135505856666,361661,362813,0.9968248105773497
ethereum,962,1,962,1922417,72881396,0.026377335033483718,361662,362813,0.9968275668181681
ethereum,963,1,963,1923380,72881396,0.026390548282033455,361663,362813,0.9968303230589863
ethereum,964,2,1928,1925308,72881396,0.026417002220978314,361665,362813,0.9968358355406228
ethereum,966,1,966,1926274,72881396,0.02643025663229612,361666,362813,0.9968385917814411
ethereum,967,1,967,1927241,72881396,0.026443524764536618,361667,362813,0.9968413480222594
ethereum,968,3,2904,1930145,72881396,0.026483370324026177,361670,362813,0.9968496167447142
ethereum,969,1,969,1931114,72881396,0.02649666589811205,361671,362813,0.9968523729855325
ethereum,970,2,1940,1933054,72881396,0.02652328448812918,361673,362813,0.996857885467169
ethereum,974,1,974,1934028,72881396,0.0265366486668285,361674,362813,0.9968606417079873
ethereum,976,1,976,1935004,72881396,0.0265500402873732,361675,362813,0.9968633979488056
ethereum,977,1,977,1935981,72881396,0.02656344562884059,361676,362813,0.9968661541896239
ethereum,980,1,980,1936961,72881396,0.026576892133076045,361677,362813,0.9968689104304421
ethereum,982,2,1964,1938925,72881396,0.026603840025237715,361679,362813,0.9968744229120787
ethereum,983,2,1966,1940891,72881396,0.026630815359244765,361681,362813,0.9968799353937152
ethereum,984,2,1968,1942859,72881396,0.026657818135097194,361683,362813,0.9968854478753517
ethereum,986,1,986,1943845,72881396,0.026671346964868784,361684,362813,0.9968882041161701
ethereum,989,1,989,1944834,72881396,0.026684916957408444,361685,362813,0.9968909603569883
ethereum,993,1,993,1945827,72881396,0.026698541833638862,361686,362813,0.9968937165978066
ethereum,994,1,994,1946821,72881396,0.026712180430791967,361687,362813,0.9968964728386248
ethereum,996,1,996,1947817,72881396,0.026725846469790454,361688,362813,0.9968992290794432
ethereum,997,1,997,1948814,72881396,0.026739526229711628,361689,362813,0.9969019853202614
ethereum,1000,13,13000,1961814,72881396,0.026917898224671766,361702,362813,0.996937816450899
ethereum,1001,1,1001,1962815,72881396,0.0269316328682837,361703,362813,0.9969405726917172
ethereum,1006,1,1006,1963821,72881396,0.026945436116509073,361704,362813,0.9969433289325355
ethereum,1007,1,1007,1964828,72881396,0.02695925308565714,361705,362813,0.9969460851733538
ethereum,1010,1,1010,1965838,72881396,0.026973111217573276,361706,362813,0.9969488414141721
ethereum,1011,2,2022,1967860,72881396,0.02700085492325092,361708,362813,0.9969543538958086
ethereum,1012,1,1012,1968872,72881396,0.027014740497012434,361709,362813,0.9969571101366269
ethereum,1016,1,1016,1969888,72881396,0.027028680954464705,361710,362813,0.9969598663774452
ethereum,1018,1,1018,1970906,72881396,0.02704264885376235,361711,362813,0.9969626226182634
ethereum,1020,2,2040,1972946,72881396,0.027070639536048404,361713,362813,0.9969681350998999
ethereum,1021,3,3063,1976009,72881396,0.027112666722245552,361716,362813,0.9969764038223548
ethereum,1022,2,2044,1978053,72881396,0.02714071228822236,361718,362813,0.9969819163039914
ethereum,1024,2,2048,1980101,72881396,0.027168812737889927,361720,362813,0.9969874287856278
ethereum,1025,1,1025,1981126,72881396,0.0271828766836464,361721,362813,0.9969901850264461
ethereum,1030,1,1030,1982156,72881396,0.027197009234016318,361722,362813,0.9969929412672645
ethereum,1031,1,1031,1983187,72881396,0.027211155505308927,361723,362813,0.9969956975080827
ethereum,1033,1,1033,1984220,72881396,0.027225329218446913,361724,362813,0.996998453748901
ethereum,1034,1,1034,1985254,72881396,0.027239516652507588,361725,362813,0.9970012099897192
ethereum,1035,1,1035,1986289,72881396,0.027253717807490953,361726,362813,0.9970039662305374
ethereum,1037,2,2074,1988363,72881396,0.02728217500114844,361728,362813,0.997009478712174
ethereum,1039,2,2078,1990441,72881396,0.027310687078496685,361730,362813,0.9970149911938105
ethereum,1040,2,2080,1992521,72881396,0.027339226597690308,361732,362813,0.9970205036754471
ethereum,1042,1,1042,1993563,72881396,0.027353523799132497,361733,362813,0.9970232599162654
ethereum,1043,1,1043,1994606,72881396,0.027367834721497376,361734,362813,0.9970260161570836
ethereum,1049,1,1049,1995655,72881396,0.02738222796939839,361735,362813,0.997028772397902
ethereum,1050,1,1050,1996705,72881396,0.027396634938222093,361736,362813,0.9970315286387202
ethereum,1051,1,1051,1997756,72881396,0.027411055627968486,361737,362813,0.9970342848795385
ethereum,1055,1,1055,1998811,72881396,0.027425531201405638,361738,362813,0.9970370411203567
ethereum,1057,2,2114,2000925,72881396,0.027454537231970694,361740,362813,0.9970425536019933
ethereum,1058,1,1058,2001983,72881396,0.02746905396817591,361741,362813,0.9970453098428116
ethereum,1059,1,1059,2003042,72881396,0.02748358442530382,361742,362813,0.9970480660836298
ethereum,1061,1,1061,2004103,72881396,0.027498142324277105,361743,362813,0.9970508223244481
ethereum,1065,1,1065,2005168,72881396,0.027512755106941147,361744,362813,0.9970535785652664
ethereum,1068,2,2136,2007304,72881396,0.027542062997805365,361746,362813,0.9970590910469029
ethereum,1069,1,1069,2008373,72881396,0.027556730664160166,361747,362813,0.9970618472877212
ethereum,1070,1,1070,2009443,72881396,0.027571412051437653,361748,362813,0.9970646035285395
ethereum,1071,1,1071,2010514,72881396,0.027586107159637833,361749,362813,0.9970673597693578
ethereum,1076,1,1076,2011590,72881396,0.027600870872451454,361750,362813,0.997070116010176
ethereum,1077,1,1077,2012667,72881396,0.02761564830618777,361751,362813,0.9970728722509943
ethereum,1080,2,2160,2014827,72881396,0.02764528549919653,361753,362813,0.9970783847326309
ethereum,1081,1,1081,2015908,72881396,0.0276601178166236,361754,362813,0.9970811409734491
ethereum,1083,1,1083,2016991,72881396,0.02767497757589605,361755,362813,0.9970838972142674
ethereum,1085,1,1085,2018076,72881396,0.027689864777013875,361756,362813,0.9970866534550856
ethereum,1086,1,1086,2019162,72881396,0.027704765699054393,361757,362813,0.997089409695904
ethereum,1087,1,1087,2020249,72881396,0.0277196803420176,361758,362813,0.9970921659367222
ethereum,1088,1,1088,2021337,72881396,0.027734608705903493,361759,362813,0.9970949221775405
ethereum,1089,1,1089,2022426,72881396,0.027749550790712077,361760,362813,0.9970976784183587
ethereum,1091,1,1091,2023517,72881396,0.02776452031736604,361761,362813,0.9971004346591771
ethereum,1098,2,2196,2025713,72881396,0.027794651463591613,361763,362813,0.9971059471408136
ethereum,1099,1,1099,2026812,72881396,0.02780973075762709,361764,362813,0.9971087033816318
ethereum,1100,1,1100,2027912,72881396,0.027824823772585255,361765,362813,0.9971114596224502
ethereum,1102,1,1102,2029014,72881396,0.0278399442293888,361766,362813,0.9971142158632684
ethereum,1104,1,1104,2030118,72881396,0.027855092128037724,361767,362813,0.9971169721040867
ethereum,1105,1,1105,2031223,72881396,0.027870253747609337,361768,362813,0.9971197283449049
ethereum,1111,5,5555,2036778,72881396,0.027946473473148072,361773,362813,0.9971335095489963
ethereum,1114,1,1114,2037892,72881396,0.02796175858102389,361774,362813,0.9971362657898146
ethereum,1115,1,1115,2039007,72881396,0.02797705740982239,361775,362813,0.9971390220306329
ethereum,1118,1,1118,2040125,72881396,0.027992397401388962,361776,362813,0.9971417782714511
ethereum,1119,1,1119,2041244,72881396,0.028007751113878224,361777,362813,0.9971445345122694
ethereum,1120,1,1120,2042364,72881396,0.028023118547290175,361778,362813,0.9971472907530877
ethereum,1122,1,1122,2043486,72881396,0.028038513422547505,361779,362813,0.997150046993906
ethereum,1124,1,1124,2044610,72881396,0.02805393573965021,361780,362813,0.9971528032347242
