chain,block_date,create_trace_count
ethereum,2016-06-11,839
ethereum,2016-06-12,719
ethereum,2016-06-13,1874
ethereum,2016-06-14,647
ethereum,2016-06-15,247
ethereum,2016-06-16,1945
ethereum,2016-06-17,4060
ethereum,2016-06-18,4999
ethereum,2016-06-19,2599
ethereum,2016-06-20,2655
ethereum,2016-06-21,1447
ethereum,2016-06-22,2351
ethereum,2016-06-23,798
ethereum,2016-06-24,1621
ethereum,2016-06-25,651
ethereum,2016-06-26,826
ethereum,2016-06-27,833
ethereum,2016-06-28,975
ethereum,2016-06-29,884
ethereum,2016-06-30,379
ethereum,2016-07-01,792
ethereum,2016-07-02,439
ethereum,2016-07-03,1050
ethereum,2016-07-04,613
ethereum,2016-07-05,493
ethereum,2016-07-06,661
ethereum,2016-07-07,679
ethereum,2016-07-08,645
ethereum,2016-07-09,1441
ethereum,2016-07-10,945
ethereum,2016-07-11,280
ethereum,2016-07-12,199
ethereum,2016-07-13,583
ethereum,2016-07-14,760
ethereum,2016-07-15,1233
ethereum,2016-07-16,565
ethereum,2016-07-17,220
ethereum,2016-07-18,342
ethereum,2016-07-19,761
ethereum,2016-07-20,1837
ethereum,2016-07-21,686
ethereum,2016-07-22,1308
ethereum,2016-07-23,960
ethereum,2016-07-24,146
ethereum,2016-07-25,653
ethereum,2016-07-26,573
ethereum,2016-07-27,557
ethereum,2016-07-28,390
ethereum,2016-07-29,118
ethereum,2016-07-30,145
ethereum,2016-07-31,116
ethereum,2016-08-01,226
ethereum,2016-08-02,164
ethereum,2016-08-03,208
ethereum,2016-08-04,91
ethereum,2016-08-05,146
ethereum,2016-08-06,41
ethereum,2016-08-07,121
ethereum,2016-08-08,383
ethereum,2016-08-09,94
ethereum,2016-08-10,333
ethereum,2016-08-11,64
ethereum,2016-08-12,148
ethereum,2016-08-13,68
ethereum,2016-08-14,47
ethereum,2016-08-15,59
ethereum,2016-08-16,93
ethereum,2016-08-17,138
ethereum,2016-08-18,111
ethereum,2016-08-19,61
ethereum,2016-08-20,61
ethereum,2016-08-21,247
ethereum,2016-08-22,107
ethereum,2016-08-23,226
ethereum,2016-08-24,83
ethereum,2016-08-25,60
ethereum,2016-08-26,45
ethereum,2016-08-27,31
ethereum,2016-08-28,22
ethereum,2016-08-29,33
ethereum,2016-08-30,41
ethereum,2016-08-31,116
ethereum,2016-09-01,311
ethereum,2016-09-02,162
ethereum,2016-09-03,100
ethereum,2016-09-04,200
ethereum,2016-09-05,104
ethereum,2016-09-06,62
ethereum,2016-09-07,35
ethereum,2016-09-08,32
ethereum,2016-09-09,44
ethereum,2016-09-10,31
ethereum,2016-09-11,34
ethereum,2016-09-12,81
ethereum,2016-09-13,42
ethereum,2016-09-14,84
ethereum,2016-09-15,91
ethereum,2016-09-16,52
ethereum,2016-09-17,40
ethereum,2016-09-18,27
ethereum,2016-09-19,27
ethereum,2016-09-20,66
ethereum,2016-09-21,56
ethereum,2016-09-22,49
ethereum,2016-09-23,25
ethereum,2016-09-24,27
ethereum,2016-09-25,44
ethereum,2016-09-26,24
ethereum,2016-09-27,78
ethereum,2016-09-28,84
ethereum,2016-09-29,98
ethereum,2016-09-30,49
ethereum,2016-10-01,36
ethereum,2016-10-02,40
ethereum,2016-10-03,41
ethereum,2016-10-04,13
ethereum,2016-10-05,33
ethereum,2016-10-06,19
ethereum,2016-10-07,34
ethereum,2016-10-08,23
ethereum,2016-10-09,25
ethereum,2016-10-10,21
ethereum,2016-10-11,3619
ethereum,2016-10-12,6895
ethereum,2016-10-13,14762
ethereum,2016-10-14,11005
ethereum,2016-10-15,2216
ethereum,2016-10-16,3645
ethereum,2016-10-17,3308
ethereum,2016-10-18,2936
ethereum,2016-10-19,24
ethereum,2016-10-20,5
ethereum,2016-10-21,5
ethereum,2016-10-22,3
ethereum,2016-10-23,2
ethereum,2016-10-24,18
ethereum,2016-10-25,10
ethereum,2016-10-26,2
ethereum,2016-10-27,18
ethereum,2016-10-28,310
ethereum,2016-10-29,13
