chain,block_date,active_factory_count
ethereum,2016-07-09,5
ethereum,2016-07-10,10
ethereum,2016-07-11,6
ethereum,2016-07-12,7
ethereum,2016-07-13,11
ethereum,2016-07-14,7
ethereum,2016-07-15,4
ethereum,2016-07-16,3
ethereum,2016-07-17,5
ethereum,2016-07-18,4
ethereum,2016-07-19,5
ethereum,2016-07-20,9
ethereum,2016-07-21,4
ethereum,2016-07-22,11
ethereum,2016-07-23,5
ethereum,2016-07-24,6
ethereum,2016-07-25,6
ethereum,2016-07-26,4
ethereum,2016-07-27,5
ethereum,2016-07-28,10
ethereum,2016-07-29,4
ethereum,2016-07-30,7
ethereum,2016-07-31,6
ethereum,2016-08-01,6
ethereum,2016-08-02,32
ethereum,2016-08-03,5
ethereum,2016-08-04,24
ethereum,2016-08-05,16
ethereum,2016-08-06,6
ethereum,2016-08-07,5
ethereum,2016-08-08,8
ethereum,2016-08-09,3
ethereum,2016-08-10,5
ethereum,2016-08-11,5
ethereum,2016-08-12,7
ethereum,2016-08-13,5
ethereum,2016-08-14,5
ethereum,2016-08-15,6
ethereum,2016-08-16,5
ethereum,2016-08-17,4
ethereum,2016-08-18,9
ethereum,2016-08-19,13
ethereum,2016-08-20,12
ethereum,2016-08-21,9
ethereum,2016-08-22,9
ethereum,2016-08-23,6
ethereum,2016-08-24,6
ethereum,2016-08-25,4
ethereum,2016-08-26,7
ethereum,2016-08-27,5
ethereum,2016-08-28,3
ethereum,2016-08-29,5
ethereum,2016-08-30,8
ethereum,2016-08-31,7
ethereum,2016-09-01,9
ethereum,2016-09-02,7
ethereum,2016-09-03,6
ethereum,2016-09-04,4
ethereum,2016-09-05,27
ethereum,2016-09-06,9
ethereum,2016-09-07,8
ethereum,2016-09-08,6
ethereum,2016-09-09,7
ethereum,2016-09-10,6
ethereum,2016-09-11,5
ethereum,2016-09-12,20
ethereum,2016-09-13,4
ethereum,2016-09-14,18
ethereum,2016-09-15,17
ethereum,2016-09-16,10
ethereum,2016-09-17,4
ethereum,2016-09-18,3
ethereum,2016-09-19,4
ethereum,2016-09-20,9
ethereum,2016-09-21,27
ethereum,2016-09-22,6
ethereum,2016-09-23,3
ethereum,2016-09-24,3
ethereum,2016-09-25,2
ethereum,2016-09-26,2
ethereum,2016-09-27,2
ethereum,2016-09-28,2
ethereum,2016-09-29,3
ethereum,2016-09-30,3
ethereum,2016-10-01,2
ethereum,2016-10-02,3
ethereum,2016-10-03,3
ethereum,2016-10-04,5
ethereum,2016-10-05,2
ethereum,2016-10-06,4
ethereum,2016-10-07,4
ethereum,2016-10-08,3
ethereum,2016-10-09,3
ethereum,2016-10-10,2
ethereum,2016-10-11,4
ethereum,2016-10-12,4
ethereum,2016-10-13,6
ethereum,2016-10-14,43
ethereum,2016-10-15,4
ethereum,2016-10-16,2
ethereum,2016-10-17,3
ethereum,2016-10-18,4
ethereum,2016-10-19,14
ethereum,2016-10-20,1
ethereum,2016-10-21,3
ethereum,2016-10-22,1
ethereum,2016-10-23,2
ethereum,2016-10-24,17
ethereum,2016-10-25,8
ethereum,2016-10-26,1
ethereum,2016-10-27,3
ethereum,2016-10-28,11
ethereum,2016-10-29,1
ethereum,2016-10-30,4
ethereum,2016-10-31,9
ethereum,2016-11-01,10
ethereum,2016-11-02,3
ethereum,2016-11-03,2
ethereum,2016-11-04,2
ethereum,2016-11-05,8
ethereum,2016-11-06,8
ethereum,2016-11-07,2
ethereum,2016-11-08,12
ethereum,2016-11-09,22
ethereum,2016-11-10,11
ethereum,2016-11-11,3
ethereum,2016-11-12,5
ethereum,2016-11-13,7
ethereum,2016-11-14,11
ethereum,2016-11-15,10
ethereum,2016-11-16,10
ethereum,2016-11-17,5
ethereum,2016-11-18,19
ethereum,2016-11-19,4
ethereum,2016-11-20,12
ethereum,2016-11-21,9
ethereum,2016-11-22,7
ethereum,2016-11-23,6
ethereum,2016-11-24,11
ethereum,2016-11-25,6
ethereum,2016-11-26,8
ethereum,2016-11-27,10
ethereum,2016-11-28,10
ethereum,2016-11-29,12
ethereum,2016-11-30,9
ethereum,2016-12-01,12
ethereum,2016-12-02,5
ethereum,2016-12-03,10
ethereum,2016-12-04,7
ethereum,2016-12-05,11
ethereum,2016-12-06,9
ethereum,2016-12-07,15
ethereum,2016-12-08,7
ethereum,2016-12-09,9
ethereum,2016-12-10,9
ethereum,2016-12-11,7
ethereum,2016-12-12,8
ethereum,2016-12-13,4
ethereum,2016-12-14,6
ethereum,2016-12-15,4
ethereum,2016-12-16,5
ethereum,2016-12-17,6
ethereum,2016-12-18,3
ethereum,2016-12-19,7
ethereum,2016-12-20,7
ethereum,2016-12-21,6
ethereum,2016-12-22,5
ethereum,2016-12-23,3
ethereum,2016-12-24,8
ethereum,2016-12-25,4
ethereum,2016-12-26,10
ethereum,2016-12-27,16
ethereum,2016-12-28,11
ethereum,2016-12-29,32
ethereum,2016-12-30,22
ethereum,2016-12-31,26
ethereum,2017-01-01,16
ethereum,2017-01-02,16
ethereum,2017-01-03,15
ethereum,2017-01-04,33
ethereum,2017-01-05,23
ethereum,2017-01-06,24
ethereum,2017-01-07,8
ethereum,2017-01-08,21
ethereum,2017-01-09,35
ethereum,2017-01-10,35
ethereum,2017-01-11,29
ethereum,2017-01-12,26
ethereum,2017-01-13,28
ethereum,2017-01-14,9
ethereum,2017-01-15,10
ethereum,2017-01-16,4
ethereum,2017-01-17,35
ethereum,2017-01-18,24
ethereum,2017-01-19,17
ethereum,2017-01-20,20
ethereum,2017-01-21,16
ethereum,2017-01-22,9
ethereum,2017-01-23,16
ethereum,2017-01-24,22
ethereum,2017-01-25,11
ethereum,2017-01-26,15
ethereum,2017-01-27,13
ethereum,2017-01-28,11
ethereum,2017-01-29,8
ethereum,2017-01-30,7
ethereum,2017-01-31,16
ethereum,2017-02-01,36
ethereum,2017-02-02,28
ethereum,2017-02-03,23
ethereum,2017-02-04,11
ethereum,2017-02-05,14
ethereum,2017-02-06,17
ethereum,2017-02-07,41
ethereum,2017-02-08,19
ethereum,2017-02-09,11
ethereum,2017-02-10,16
ethereum,2017-02-11,4
ethereum,2017-02-12,14
ethereum,2017-02-13,35
ethereum,2017-02-14,41
ethereum,2017-02-15,56
ethereum,2017-02-16,20
ethereum,2017-02-17,40
ethereum,2017-02-18,26
ethereum,2017-02-19,16
ethereum,2017-02-20,29
ethereum,2017-02-21,68
ethereum,2017-02-22,46
ethereum,2017-02-23,44
ethereum,2017-02-24,32
ethereum,2017-02-25,6
ethereum,2017-02-26,9
ethereum,2017-02-27,18
ethereum,2017-02-28,15
ethereum,2017-03-01,23
ethereum,2017-03-02,22
ethereum,2017-03-03,5
ethereum,2017-03-04,3
ethereum,2017-03-05,10
ethereum,2017-03-06,4
ethereum,2017-03-07,4
ethereum,2017-03-08,6
ethereum,2017-03-09,3
ethereum,2017-03-10,5
ethereum,2017-03-11,1
ethereum,2017-03-12,1
ethereum,2017-03-13,8
ethereum,2017-03-14,24
ethereum,2017-03-15,21
ethereum,2017-03-16,28
ethereum,2017-03-17,5
ethereum,2017-03-18,3
ethereum,2017-03-19,3
ethereum,2017-03-20,17
ethereum,2017-03-21,14
ethereum,2017-03-22,25
ethereum,2017-03-23,37
ethereum,2017-03-24,27
ethereum,2017-03-25,17
ethereum,2017-03-26,7
ethereum,2017-03-27,6
ethereum,2017-03-28,2
ethereum,2017-03-29,7
ethereum,2017-03-30,3
ethereum,2017-03-31,18
ethereum,2017-04-01,13
ethereum,2017-04-02,1
ethereum,2017-04-03,16
ethereum,2017-04-04,13
ethereum,2017-04-05,14
ethereum,2017-04-06,14
ethereum,2017-04-07,12
ethereum,2017-04-08,2
ethereum,2017-04-09,11
ethereum,2017-04-10,14
ethereum,2017-04-11,30
ethereum,2017-04-12,18
ethereum,2017-04-13,16
ethereum,2017-04-14,6
ethereum,2017-04-15,2
ethereum,2017-04-16,5
ethereum,2017-04-17,5
ethereum,2017-04-18,19
ethereum,2017-04-19,6
ethereum,2017-04-20,6
ethereum,2017-04-21,21
ethereum,2017-04-22,32
ethereum,2017-04-23,5
ethereum,2017-04-24,16
ethereum,2017-04-25,30
ethereum,2017-04-26,7
ethereum,2017-04-27,9
ethereum,2017-04-28,15
ethereum,2017-04-29,3
ethereum,2017-04-30,5
ethereum,2017-05-01,14
ethereum,2017-05-02,24
ethereum,2017-05-03,19
ethereum,2017-05-04,20
ethereum,2017-05-05,18
ethereum,2017-05-06,25
ethereum,2017-05-07,16
ethereum,2017-05-08,24
ethereum,2017-05-09,26
ethereum,2017-05-10,24
ethereum,2017-05-11,23
ethereum,2017-05-12,13
ethereum,2017-05-13,4
ethereum,2017-05-14,6
ethereum,2017-05-15,17
ethereum,2017-05-16,21
ethereum,2017-05-17,11
ethereum,2017-05-18,12
ethereum,2017-05-19,17
ethereum,2017-05-20,22
ethereum,2017-05-21,15
ethereum,2017-05-22,19
ethereum,2017-05-23,24
ethereum,2017-05-24,20
ethereum,2017-05-25,25
ethereum,2017-05-26,18
ethereum,2017-05-27,17
ethereum,2017-05-28,14
ethereum,2017-05-29,17
ethereum,2017-05-30,26
ethereum,2017-05-31,21
ethereum,2017-06-01,35
ethereum,2017-06-02,22
ethereum,2017-06-03,19
ethereum,2017-06-04,27
ethereum,2017-06-05,33
ethereum,2017-06-06,31
ethereum,2017-06-07,29
ethereum,2017-06-08,15
ethereum,2017-06-09,27
